Discription,Unit of Measure, Unit Price (USD) 
"Dewatering:
a) Special Dewatering System (Well points dewatering system using manifold and storage water tank).",LS,5690.88
b) Medium type pumps dewatering system (using well points dewatering system without storage water tank).,LS,3144.96
c) Normal type dewatering system using normal pumps. (Minimum 2 Pumps).,LS,1497.6
d) Shallow dewatering system using 1 Pump.,LS,898.56
Shelters extra Steel Beams: Zain will pay for weight beyond 1.2 Ton which is considered as standard,Ton,3444.48
Penetrating Tower Framing: Zain will pay for weight beyond 0.7 Ton which is considered as standard.,Ton,3444.48
Sites where the Penetrating Tower & Shelter is resting on single framing: Zain will pay for weight beyond 1.9 (1.2+0.7) Ton which is considered as standard.,Ton,3444.48
Delta between Model excavation cost and rock excavation (using machinery). Actual measurements apply.,m3,13.48
Additional payment for S&I of PVC coated fence in coastal areas including 3m gate,m,40.44
"Additional payment for submerged foundation Concrete including using Epoxy coated
steel reinforcement. This is additional cost to the foundation in normal site. Quality",m3,329.47
Supply and installation of  sun shade as per approved type in both (RT & GF) site including all preparation for foundation,LS,4074.67
"Supply and installation of  cable tray (100 mm width) with all required accessories,",m1,53.91
"Supply and installation of  cable tray (200 mm width) with all required accessories,",m1,62.9
Supply and installation of  cable tray (300 mm width) with all required accessories,m1,67.39
Supply and installation of  cable tray (400 mm width) with all required accessories,m1,82.37
Supply and installation of  cable tray (600 mm width) with all required accessories,m1,97.34
Back filling with sub base and compaction on layers each 30 cm ,M³,13.48
"Extra access road for Normal soil, Rock soil ,Cutting Back filling and Filling Material with depth 30cm (width 3M)  ,as per Zain specs.",Mt,121.31
Soil Replacement with sub base and compaction on layers each 30 cm,M³,17.97
Extra cutting in rock & Leveling,M³,17.97
"Supply of labor, material & consumable and construct slope protection as per enclosed drawings including excavation, formwork, reinforcement, curing, protective coating 10cm Thickness, back filling etc. and complete in all respect.",M2,53.91
Supply and casting and finishing with Epoxy reinforcement concrete above ground for (Generators or fuel tank or outdoor unit as per Zain spec's).,M3,329.47
Supply and Installation Stone Rip-Rap Slope protection,M2,89.86
External ladder for accessing RT sites 1m length,Mt,179.71
Supply and install Zain new chain Link fencing with gate as per zain spec,Mt,160
Supply and install 3m vehicle gate as per zain spec,Each,1647.36
supply and installation extension for feeder ladder (angel (50*50*5)mm with length 500mm).,per piece,89.86
Supply and install Single Wall Mount 6.00M ,Each,1467.65
Supply and install Dual Wall Mount 6.00M,Each,1722.24
Supply and install Single Wall Mount 4.5M,Each,1108.22
Supply and install Dual Wall Mount 4.5M,Each,1422.72
Supply and install Single Wall Mount 3.00M,Each,748.8
Supply and install Dual Wall Mount 3.00M,Each,973.44
"Supply and install Single Wall Mount Pole with full accessories 1m length 4"" diameter",Each,718.85
"Supply and install Single Wall Mount Pole with full accessories 2m length 4"" diameter",Each,1123.2
"Supply and install Single Wall Mount Pole with full accessories 9m length 5"" diameter",Each,2471.04
Tower Strenghtening,kg,5.12
Supply and Installation of Pylon Site 12m for Hajj Area,each,60825.6
"Supply and installation of 3x3m, 12m monopole Tent Site, one meter pedestrian gate, foundation for pole, foundation for equipment, decorative fence, camouflage tent, grounding system, power cable, site prepration, Main distribution board, cable tray without generator.",each,53621.57
"S&I 4x35 Sqmm XPLE 600/1000V Steel tape Armored AC Power
Cables including excavation and backfilling (approved type are Riyadh & Jeddah) as per ZAIN specs",M,32.95
"S&I 4x50 Sqmm XPLE 600/1000V Steel tape Armored AC Power
Cables including excavation and backfilling (approved type are Riyadh & Jeddah) as per ZAIN specs",M,41.93
"S&I 4x70 Sqmm XPLE 600/1000V Steel tape Armored AC Power
Cables including excavation and backfilling (approved type are Riyadh & Jeddah) as per ZAIN specs",M,58.41
"S&I 4x95 Sqmm XPLE 600/1000V Steel tape Armored AC Power
Cables including excavation and backfilling (approved type are Riyadh & Jeddah) as per ZAIN specs",M,74.88
"S&I 4x120 Sqmm XPLE 600/1000V Steel tape Armored Riyadh, Jedha AC Power
Cables including piping excavation and backfilling as per ZAIN specs",M,89.86
"S&I 4x150 Sqmm XPLE 600/1000V Steel tape Armored Riyadh, Jedha AC Power
Cables including  excavation and backfilling as per ZAIN specs",M,104.83
"S&I 4x185 Sqmm XPLE 600/1000V Steel wire Armored Riyadh, Jedha AC Power
Cables including  excavation and backfilling as per ZAIN specs",M,128.79
"S&I 4x240 Sqmm XPLE 600/1000V Steel wire Armored Riyadh, Jedha AC Power
Cables including  excavation and backfilling as per ZAIN specs",M,164.74
Single Genset Foundation concrete followed by ATS Foundation as per Zain Specs,each,1153.15
Dual Genset Concrete Foundation followed by ATS Foundation as per Zain Specs,each,2096.64
5000L Fuel Tank Concrete Foundation as per Zain Specs,each,1293.93
Temporary Genset rental for 2 months,,6324.61
Extra Sceco Wall,each,374.4
S&I MCCB 100 Amp inside IP65 Enclosure as per Zain Specs.,each,293.22
"S&I of ACMDB (200AMCCB, 100AMCCB & 100AMCCB) with all accessories and steel
stand.",each,2096.64
"S&I of 30KVA-220-380V/127-220V-60Hz Step Down Transformer with all
accessories and foundation as per Zain Specs.",each,2096.64
"S&I of 60KVA-220-380V/127-220V-60Hz Step Down Transformer with all
accessories and foundation as per Zain Specs.",each,2695.68
"Trenches including sand, cover plates and warning tape and all standard requirements
in Asphalt Area",M,26.96
Sites Analysis and design recommendation to check the tower strengthen possibilities ,each,4717.95
Tower strengthen services including materials up to 1/4 ton,each,6897.44
Tower strengthen services including materials up to 1/2 ton,each,10153.85
Tower strengthen services including materials up to 1     ton,each,18666.76
New Rectifier cabinet installation ,each,13393.71
Re-arrangement of the telecom equipment’s to provide  space for new equipment’s ,each,4278.2
"Supply of 2.5 X 2.3m shelter including testing, commissioning and PAT and installation of the shelter on 6 Reinforcement concrete pedestals (40*40*25)cm including construction of these pedestalsat, for rooftop sitesvas per ZAIN specs.",each,23961.6
"Supply of 2.5 X 2.3m shelter including testing, commissioning and PAT and installation of the shelter on structural steel beams up to 1.2 ton as per ZAIN specs.",each,26956.8
"Supply of 3.2 X 2.7m shelter including testing, commissioning and PAT and installation of the shelter on 6 Reinforcement concrete pedestals (40*40*25)cm including construction of these pedestalsat, for rooftop sites as per ZAIN specs.",each,26240
"Supply of 3.2 X 2.7m shelter including testing, commissioning and PAT and installation of the shelter on structural steel beams up to 1.2 ton as per ZAIN specs.",each,28800
"Supply of 2.5 X 2.3m shelter including testing, commissioning and PAT and installation of the shelter on raft concrete foundation (3.6*3*0.25) m including construction the foundation as per ZAIN specs.",each,27200
"Supply of 3.2 X 2.7m shelter including testing, commissioning and PAT and installation of the shelter on raft concrete foundation (4.5*3.4*0.25) m including construction the foundation as per ZAIN specs.",each,28638.01
